,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
758,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-404346457851-SWIGGY ORDER ID 16,398.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
761,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-404427789273-UPI,60.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
762,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-404453938891-SWIGGY ORDER ID 16,549.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
763,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-404556242589-PAYMENT FOR SWIGGY,398.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
764,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-441154498795-DEBIT MONEY USING,256.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
766,UPI-SWIGGY-SWIGGY.STORES@AXISBANK-UTIB0000100-404559634423-SWIGGY ORDER ID 16,166.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
767,UPI-SWIGGY-SWIGGY.RZP@HDFCBANK-HDFC0000001-404588307712-PAY VIA RAZORPAY,457.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
769,UPI-SWIGGY-SWIGGY@YESPAY-YESB0YESUPI-404676005064-DEBIT MONEY USING,211.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
770,UPI-SWIGGYINSTAMART-SWIGGYINSTAMART@YESPAY-YESB0YESUPI-404676379999-DEBIT MONEY USING,295.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
773,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-404748900547-UPI,15.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
778,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-404859790013-UPI,355.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
781,UPI-NAMMA CAKE ARAMANE-PAYTMQRS6AHHO71S6@PAYTM-PYTM0123456-404918974267-CAKE,350.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
782,UPI-BUNDL TECHNOLOGIES P-BUNDLTECHNOLOGIESPVTLTDSWIGGY.RZP@SBI-SBIN0016209-404928938075-SWIGGY,195.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
783,UPI-BUNDL TECHNOLOGIES P-BUNDLTECHNOLOGIESPVTLTDSWIGGY.RZP@SBI-SBIN0016209-404928934262-SWIGGY,217.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
784,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-404983773462-SWIGGY ORDER ID 16,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
785,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405058635461-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
787,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405187025468-UPI,35.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
790,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405479728389-UPI,35.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
791,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405498541361-UPI,35.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
795,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405784108808-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
796,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405799992516-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
797,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405700027893-UPI,10.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
798,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-405743831237-EXPRESS,0.0,10.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
800,UPI-SHABARI JUICE JUNCTI-PAYTMQR19DKR78RDR@PAYTM-PYTM0123456-405960641383-UPI,140.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
801,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-406086182113-UPI,35.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
803,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-406009728806-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
806,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-406263290238-UPI,86.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
807,UPI-RAINBOW FOOD MART-PAYTMQRNXUBNFG2S6@PAYTM-PYTM0123456-406282095283-UPI,70.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
810,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-406578213431-UPI,10.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
813,UPI-RAINBOW FOOD MART-PAYTMQR1HVUW18PND@PAYTM-PYTM0123456-406747258422-UPI,194.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
817,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-406892863693-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
823,UPI-RAINBOW FOOD MART-PAYTMQR1HVUW18PND@PAYTM-PYTM0123456-407197267181-UPI,322.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
824,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-PYTM0123456-407250755839-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
832,UPI-BURRITO RESTAURANTS-BHARATPE09600002881@YESBANKLTD-YESB0YESUPI-407570355456-PAY TO CALIFORNIA,361.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
834,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-407884810894-PAYMENT FOR SWIGGY,583.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
835,UPI-SNACKIT VV00057-PAYTMQR281005050101AQ2HP9EVHFIG@PAYTM-YESB0PTMUPI-407921124001-UPI,20.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
838,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-408011524333-SWIGGY ORDER ID 16,407.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
840,UPI-SWIGGY-SWIGGY746696.RZP@HDFCBANK-HDFC0000001-408210613848-PAY VIA RAZORPAY,255.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
841,UPI-SWIGGYINSTAMART-SWIGGYINSTAMART@YESPAY-YESB0YESUPI-444962548169-DEBIT MONEY USING,628.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
845,UPI-SWIGGY-SWIGGYUPI@AXISBANK-UTIB0000000-408440736747-SWIGGY ORDER ID 17,288.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
846,UPI-SWIGGY-SWIGGY.REFUNDS@AXISBANK-UTIB0000052-408440749030-REFUND FROM SWIGGY,0.0,288.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
847,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-408406179307-PAYMENT FOR SWIGGY,288.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
854,UPI-SWIGGY-UPISWIGGY@ICICI-ICIC0DC0099-408818514011-PAYMENT FOR SWIGGY,214.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
856,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-YESB0PTMUPI-408962718597-UPI,163.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
