,Narration,Withdrawal Amt,Deposit Amt,Withdrawal Sum,Deposit Sum,Net Expense,Net Expense per Month
239,UPI-THIRD WAVE CMH INDIR-Q670687782@YBL-YESB0YBLUPI-321545204665-THIRD WAVE,588.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
241,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-321679314330-COFFEE,335.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
253,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-322127717857-UPI,499.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
257,UPI-THIRD WAVE CMH INDIR-Q670687782@YBL-YESB0YBLUPI-322250683799-DRINK,349.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
259,UPI-RAINBOW FOOD MART-PAYTMQR2810050501012GP0SRP863UV@PAYTM-PYTM0123456-322662629520-PROTEIN BARS,130.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
262,UPI-TATA STARBUCKS PRIVA-TATASTARBUCKSLIMITED.41924689@HDFCBANK-HDFC0000001-322666016592-UPI,341.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
263,UPI-MIHIR KIRAN PARANJAP-MIHIRKPARANJAPE@OKICICI-ICIC0000338-359285408982-UPI,327.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
265,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-322799919829-BAND AID,6.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
273,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-322947437608-MILK AND SHRIKHAND,152.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
276,UPI-RAINBOW FOOD MART-PAYTMQR2810050501011IPPBZ8PWM8M@PAYTM-PYTM0123456-323095451808-PAV,70.0,0.0,37864.990000000005,371.0,-37493.990000000005,-3124.499166666667
